,date,amount,description,category
1,2020-06-26,50.0,transfer from margaret a jorgensen izzy tutoring,wages
2,2020-06-08,50.0,transfer from margaret a jorgensen izzy tutoring,wages
3,2020-05-25,50.0,transfer from margaret a jorgensen izzy tutoring,wages
4,2020-05-18,50.0,transfer from margaret a jorgensen izzy tutoring,wages
5,2020-05-03,50.0,transfer from margaret a jorgensen izzy tutoring,wages
6,2020-03-29,50.0,transfer from margaret a jorgensen izzy tutoring,wages
19,2020-06-21,-8.0,mcdonalds coogee      coogee       nswau,food
20,2020-06-20,-12.9,chargrill charlies       lane cove    au,food
21,2020-06-20,-10.99,blooms the chemist j nowra ns aus card xx6725 value date: 18/06/2020,health
22,2020-06-20,-10.0,kangaroo valley gourme kangaroo vall ns aus card xx6725 value date: 18/06/2020,food
23,2020-06-20,-38.0,quattro pizzeria berry ns aus card xx6725 value date: 18/06/2020,food
24,2020-06-19,100.0,transfer from xx4138 commbank app,transfer
25,2019-11-06,100.0,transfer from xx4138 commbank app,transfer
26,2019-08-29,100.0,transfer from xx4138 commbank app,transfer
27,2020-06-19,-70.0,bws liquor w1616         newtown      au card xx6725,booze
28,2020-06-18,-11.59,berry iga plus liquo     berry        au card xx6725,shopping
29,2020-06-18,93.0,transfer from miss charlotte alice mcgui credit to account,transfer
30,2020-06-17,-4.55,mcdonalds albion park albion park  nswau,food
31,2020-06-16,-64.0,function pcp gladesville ns aus card xx6725 value date: 13/06/2020,health
32,2020-06-15,50.0,direct credit 002962 citigroup ptyltd paddy walsh,wages
33,2020-06-11,-2000.0,transfer to xx9333 commbank app investments,transfer
34,2020-06-09,-31.28,speedway west ryde west ryde ns aus card xx6725 value date: 04/06/2020,fuel
35,2020-06-06,100.0,transfer from petrina bell paddy walsh,wages
36,2020-06-06,-7.95,officeworks 0230 west ryde au aus card xx6725 value date: 04/06/2020,shopping
37,2020-06-05,-76.0,function pcp gladesville ns aus card xx6725 value date: 03/06/2020,health
39,2020-06-04,-3.6,grounded 2050 cafe camperdown ns aus card xx6725 value date: 01/06/2020,food
40,2020-06-02,120.0,salary st john's colleg st johns college,wages
41,2020-05-19,120.0,salary st john's colleg st johns college,wages
42,2020-06-01,100.0,direct credit 013402 walsh g m & bell paddy walsh 30 may,wages
43,2020-05-31,100.0,transfer from margaret a jorgensen tutoring,wages
45,2020-05-25,100.0,direct credit 002962 citigroup ptyltd paddy walsh,wages
46,2020-05-18,100.0,direct credit 002962 citigroup ptyltd paddy walsh,wages
47,2020-05-11,100.0,direct credit 002962 citigroup ptyltd paddy walsh,wages
48,2020-05-04,100.0,direct credit 002962 citigroup ptyltd paddy walsh,wages
49,2020-05-22,-20.0,commbank app tfr to 0400146779 gg,transfer
50,2020-05-20,50.0,transfer from mr anthony richard jones ben jones,wages
51,2020-05-14,50.0,transfer from mr anthony richard jones ben jones,wages
52,2020-05-19,-5.25,mcdonalds gladesville gladesville  nswau,food
53,2020-05-15,150.0,direct credit 106600 mamie  mclean cam 2.5 9.5 14.5,wages
54,2020-05-12,-227.0,ofwks online bentleigh e 03 au aus card xx6725 value date: 09/05/2020,shopping
55,2020-05-09,110.0,commbank app tfr from rachel dodds savings,transfer
56,2020-05-09,50.0,transfer from bryan jorgensen commbank app izzy jorgo tut,wages
